run,benchmark,params,mfics,maxmficsize,process,step,initTests,askedTests,benCycles,totalTests,time,precision,recall,f,isomfics,ft,lastTest
3,ART5,7,1,2,MIX,13,13,0,0,13,5,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=true, d=false, e=false, f=true, g=false}]"
4,ART5,7,1,2,MIX,14,14,0,0,14,6,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=true, d=false, e=false, f=true, g=true}]"
5,ART5,7,1,2,MIX,16,16,0,0,16,12,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=true, d=true, e=true, f=true, g=false}]"
6,ART5,7,1,2,MIX,8,8,0,0,8,2,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=false, d=true, e=false, f=false, g=false}]"
7,ART5,7,1,2,MIX,17,17,0,0,17,4,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=false, d=true, e=true, f=true, g=false}]"
8,ART5,7,1,2,MIX,18,18,0,0,18,5,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=false, c=false, d=false, e=true, f=true, g=true}]"
9,ART5,7,1,2,MIX,19,19,0,0,19,3,1,1,1,"[{a=true, b=true}]",[],"[{a=false, b=true, c=false, d=false, e=true, f=true, g=true}]"
10,ART5,7,1,2,MIX,18,18,0,0,18,7,1,1,1,"[{a=true, b=true}]",[],"[{a=true, b=false, c=false, d=true, e=true, f=false, g=true}]"
1,ART6,5,1,3,MIX,47,47,0,0,47,20,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=false, d=d3, e=e5}]"
2,ART6,5,1,3,MIX,49,49,0,0,49,25,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=true, b=true, c=false, d=d2, e=e4}]"
3,ART6,5,1,3,MIX,45,45,0,0,45,16,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=false, d=d3, e=e3}]"
4,ART6,5,1,3,MIX,44,44,0,0,44,14,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=true, b=false, c=true, d=d3, e=e3}]"
5,ART6,5,1,3,MIX,42,42,0,0,42,13,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=true, b=false, c=true, d=d3, e=e4}]"
6,ART6,5,1,3,MIX,47,47,0,0,47,30,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=true, b=false, c=true, d=d3, e=e1}]"
7,ART6,5,1,3,MIX,45,45,0,0,45,11,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=false, d=d3, e=e4}]"
8,ART6,5,1,3,MIX,49,49,0,0,49,15,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=true, d=d3, e=e2}]"
9,ART6,5,1,3,MIX,43,43,0,0,43,15,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=true, d=d3, e=e4}]"
10,ART6,5,1,3,MIX,43,43,0,0,43,12,1,1,1,"[{a=true, b=true, d=d3}]",[],"[{a=false, b=true, c=true, d=d3, e=e1}]"
